T^{-1},T,E,M,C_v,Chi
0.450450,2.220000,-0.772545,0.203389,0.909893,402.350441
0.449438,2.225000,-0.794540,0.212488,0.710307,423.076431
0.448430,2.230000,-0.701285,0.157092,1.718627,338.987905
0.447427,2.235000,-0.785070,0.208456,0.618717,411.498911
0.446429,2.240000,-0.769380,0.200871,1.209356,396.706333
0.445434,2.245000,-0.722100,0.171372,1.323863,353.660779
0.444444,2.250000,-0.743193,0.193433,1.244143,368.963743
0.443459,2.255000,-0.711698,0.169829,0.730626,340.571926
0.442478,2.260000,-0.766943,0.200190,1.699856,391.894603
0.441501,2.265000,-0.734670,0.189826,0.911747,357.883917
0.440529,2.270000,-0.733023,0.185899,0.773872,356.127536
0.439560,2.275000,-0.753525,0.194846,1.771264,376.660911
0.438596,2.280000,-0.674540,-0.136901,1.143441,308.755998
0.437637,2.285000,-0.721855,0.183416,0.649429,342.793789
0.436681,2.290000,-0.706218,0.174582,1.766612,331.217122
0.435730,2.295000,-0.668195,0.144954,1.044375,299.022874
0.434783,2.300000,-0.736738,0.198969,1.206690,352.823095
0.433839,2.305000,-0.746028,0.196200,0.825837,361.513161
0.432900,2.310000,-0.686940,0.162370,0.636881,310.058239
0.431965,2.315000,-0.720888,0.183734,1.210063,338.642814
0.431034,2.320000,-0.585940,-0.016595,0.921289,238.723797
0.430108,2.325000,-0.701705,0.180931,0.936578,318.498587
0.429185,2.330000,-0.693928,0.176416,1.280521,312.280027
0.428266,2.335000,-0.589060,0.006641,0.656038,239.268947
0.427350,2.340000,-0.622828,0.108382,1.241045,260.112569
0.426439,2.345000,-0.653543,0.133581,1.416851,282.571312
0.425532,2.350000,-0.709080,0.180211,1.313153,323.302659
0.424628,2.355000,-0.638082,0.112153,1.829479,272.382202
0.423729,2.360000,-0.643165,0.135796,1.540774,271.582392
0.422833,2.365000,-0.663280,0.155294,1.000923,283.685887
0.421941,2.370000,-0.606953,0.096764,0.632242,243.880263
0.421053,2.375000,-0.596477,0.089205,0.531666,235.588854
0.420168,2.380000,-0.693005,0.172866,0.886977,304.883042
0.419287,2.385000,-0.659163,0.147718,1.726278,280.963836
0.418410,2.390000,-0.591585,0.025058,0.709053,235.565722
0.417537,2.395000,-0.707515,0.184769,1.052122,314.127672
0.416667,2.400000,-0.673825,0.168814,1.382137,287.011829
0.415800,2.405000,-0.645198,0.159131,1.044649,262.608686
0.414938,2.410000,-0.546533,0.028541,0.743621,199.556910
0.414079,2.415000,-0.659653,0.152021,1.370020,276.289774
0.413223,2.420000,-0.638060,0.147206,0.772232,256.712482
0.412371,2.425000,-0.598970,0.115666,0.522833,229.151666
0.411523,2.430000,-0.673358,0.172480,0.816329,280.937407
0.410678,2.435000,-0.662848,-0.169584,1.256509,272.863591
0.409836,2.440000,-0.674058,0.167424,0.864042,281.664060
0.408998,2.445000,-0.678423,0.178457,1.056275,282.932847
0.408163,2.450000,-0.586070,0.110857,0.854705,218.380590
0.407332,2.455000,-0.549517,0.057773,0.609722,196.124483
0.406504,2.460000,-0.597673,0.127040,1.245567,224.900358
0.405680,2.465000,-0.576632,0.104143,1.297673,211.983674
0.404858,2.470000,-0.582785,0.109093,0.811997,214.304933
0.404040,2.475000,-0.592763,0.118183,0.712935,219.881865
0.403226,2.480000,-0.585850,0.087169,1.335205,219.841522
0.402414,2.485000,-0.565425,0.042028,0.839191,206.794647
0.401606,2.490000,-0.564748,0.040516,1.330075,207.198262
0.400802,2.495000,-0.537835,-0.011121,0.501354,186.673118
0.400000,2.500000,-0.581470,0.110602,0.825143,210.622592
0.399202,2.505000,-0.549990,0.069821,0.684746,191.808059
0.398406,2.510000,-0.560628,0.102098,0.514485,194.999275
0.397614,2.515000,-0.553573,-0.074703,0.891775,193.646107
0.396825,2.520000,-0.521208,0.038635,0.729372,173.371095
0.396040,2.525000,-0.535628,0.065857,0.547139,180.429197
0.395257,2.530000,-0.545763,0.040933,0.607547,188.845354
0.394477,2.535000,-0.537930,-0.074320,0.945803,181.550414
0.393701,2.540000,-0.535168,-0.054686,0.662573,180.211229
